title	link	date	title_corrected	res
Ante saturación de centros fronterizos, ICE de EU asumirá casos de migrantes | El Universal - El Universal	https://www.eluniversal.com.mx/mundo/ante-saturacion-de-centros-fronterizos-ice-de-eu-asumira-casos-de-migrantes	2021-08-01	Ante saturación de centros fronterizos, ICE de EU asumirá casos de migrantes	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, cuyos nombres NBC no revela, lo que provocó la propagación de Covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
Policías rescatan a 85 migrantes en Veracruz - La Razon	https://www.razon.com.mx/estados/policias-rescatan-85-migrantes-veracruz-445292	2021-08-01	Policías rescatan a 85 migrantes en Veracruz	35 son menores de edad Policías rescatan a 85 migrantes en Veracruz Elementos de la policía aprehendieron a dos sujetos por presunto tráfico de personas y rescataron a 85 migrantes que viajaban en un autobús Elementos policíacos del municipio de Minatitlán en Veracruz, rescataron a 85 migrantes que viajaban de manera irregular en un autobús foráneo, además aprehendieron a dos sujetos por presunto tráfico de personas. Al entrevistar a los viajantes se mostraron nerviosos y por ese motivo se les pidió un documento que acreditara su estancia legal en el país. Valeria, de 13 años, escapó de su casa y dejó esta carta Pensión para adultos mayores 2021: Ubica tu modulo bienestar SEP debe informar protocolos y medidas COVID-19 en escuelas ante regreso a clases 
ICE asumirá casos de migrantes por saturación en centros fronterizos de EU - Diario de México	https://www.diariodemexico.com/mundo/ice-asumira-casos-de-migrantes-por-saturacion-en-centros-fronterizos-de-eu	2021-08-01	ICE asumirá casos de migrantes por saturación en centros fronterizos de EU	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, -cuyos nombres NBC no revela- lo que provocó la propagación de covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el Gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
ICE asumirá casos de migrantes por saturación en centros fronterizos de EU - Diario de México	https://www.diariodemexico.com/index.php/mundo/ice-asumira-casos-de-migrantes-por-saturacion-en-centros-fronterizos-de-eu	2021-08-01	ICE asumirá casos de migrantes por saturación en centros fronterizos de EU	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, -cuyos nombres NBC no revela- lo que provocó la propagación de covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el Gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
En el Mar Mediterráneo, rescatan a más de 400 migrantes - ContraRéplica	https://www.contrareplica.mx/nota-En-el-Mar-Mediterraneo-rescatan-a-mas-de-400-migrantes--20211839	2021-08-01	En el Mar Mediterráneo, rescatan a más de 400 migrantes	"Las labores se alargaron hasta el amanecer, y los migrantes fueron rescatados por tres barcos: el ""Nadir"", de la oenegé ResQship; el ""Sea-Watch 3"", de la organización Sea-Watch y el ""Ocean Viking"". Al final, fueron agrupados en estas dos últimas embarcaciones. Según la Organización Internacional para las Migraciones (OIM), al menos mil 146 personas han muerto en el mar en el primer semestre de 2021, durante su arriesgada travesía hacia Europa. "
Gobierno de Puebla promueve política migratoria de inclusión y respeto a derechos humanos: Barbosa - Milenio.com	https://www.milenio.com/politica/gobierno/gobierno-puebla-promueve-politica-migratoria-inclusion-barbosa	2021-08-02	Gobierno de Puebla promueve política migratoria de inclusión y respeto a derechos humanos: Barbosa	En su mensaje, el titular del Ejecutivo expresó que no existe violación a los derechos humanos de los migrantes que recorren el estado, pues su gobierno respalda y hace suyos los ideales del presidente de México, Andrés Manuel López Obrador sobre el respeto y solidaridad entre los pueblos. Impulsa gobierno federal cuatro ejes fundamentales para el tema migratorio: Encinas En su intervención, el subsecretario de Derechos Humanos, Población y Migración federal, Alejandro Encinas Rodríguez refirió que el Gobierno de México impulsa cuatro ejes fundamentales sobre el tema migratorio que son: protección y refugio, migración laboral, gestión fronteriza y migración irregular masiva. En el encuentro estuvieron los representantes de los países que integran la Conferencia Regional sobre Migración que son: Belice, Canadá, Costa Rica, El Salvador, Estados Unidos, Guatemala, Honduras, México, Nicaragua, Panamá y República Dominicana. 
Ataque a balazos en Chiapas deja un migrante muerto y dos gravemente heridos - Milenio.com	https://www.milenio.com/estados/en-chiapas-atacan-a-balazos-a-migrantes-refugiados	2021-08-02	Ataque a balazos en Chiapas deja un migrante muerto y dos gravemente heridos	Uno de los migrantes declaró que estaban reunidos dentro del local cuando dos hombres en motocicleta pasaron e hicieron disparos desde la calle. Familiares de la víctima señalaron que los nicaragüenses son originarios del municipio de La Trinidad, además, mencionaron que habían salido hace unos días para viajar a Estados Unidos y en su llegada a México buscaron refugio en el albergue. Por su parte, la Fiscalía General del Estado en el distrito Soconusco informó que el caso se turnó a la Fiscalía de atención contra migrantes para integrar la carpeta de investigación correspondiente y esclarecer los hechos del ataque. 
Detienen a presunto traficante de migrantes en Ciudad Juárez - Milenio	https://www.milenio.com/estados/chihuahua-detienen-a-presunto-traficante-de-migrantes	2021-08-02	Detienen a presunto traficante de migrantes en Ciudad Juárez	El jefe policiaco señaló que el hombre había cobrado diferentes cantidades de dinero para ingresar a varios migrantes en Estados Unidos de manera ilegal. Además, se informó que le fue confiscado efectivo y un vehículo Chevrolet al detenido. Realivázquez dijo que las personas se encontraban en condiciones inhumanas y fueron trasladados a un albergue. 
Hospitalizan a niños migrantes por contagio de covid-19 en Xalapa, Veracruz - Milenio	https://www.milenio.com/estados/en-veracruz-hospitalizan-a-ninos-migrantes-por-covid19	2021-08-02	Hospitalizan a niños migrantes por contagio de covid-19 en Xalapa, Veracruz	"“Recibimos a unos niños que venían hacinados en un tráiler con indocumentados, al ir tanto tiempo ahí los adultos se contagiaron y contagiaron a los niños. Los menores fueron atendidos en el CAME porque su condición es diferente, no se agravan, no están intubados, es más, creo ya salieron porque el CAME es una estancia de cinco o seis días máximo."" En la última semana de julio fueron rescatados y asegurados por la policía estatal, más de 600 migrantes en diversas ciudades de Veracruz, principalmente en la zona sur, que se suman a los que rescataran otras corporaciones y el propio Instituto Nacional de Migración. "
Aseguran en Hidalgo a 767 migrantes indocumentados en el primer semestre de 2021 - Milenio	https://www.milenio.com/politica/hidalgo-asegurado-767-migrantes-indocumentados-ano	2021-08-02	Aseguran en Hidalgo a 767 migrantes indocumentados en el primer semestre de 2021	En el primer semestre de este año se detuvo en las 32 entidades del país a 93 mil 985 personas indocumentadas. Los cinco municipios en donde se ha asegurado a más personas son: Tepeapulco con 192, Tula de Allende con 153 y Pachuca de Soto con 114, Zimapán con 95 y Tulancingo con 56. Cabe mencionar que durante el 2020 el Instituto Nacional de Migración detuvo en Hidalgo a 382 personas de origen extranjero, una cifra menor en comparación con el 2019 año en que se aseguró a 783. 
Gobierno de Biden demanda a Texas por detener a migrantes - El Economista	https://www.eleconomista.com.mx/internacionales/Gobierno-de-Biden-demanda-a-Texas-por-detener-a-migrantes-20210801-0068.html	2021-08-02	Gobierno de Biden demanda a Texas por detener a migrantes	"La demanda, presentada ante una corte federal en El Paso, refleja una carta que el secretario de Justicia, Merrick Garland, envió al gobernador un día antes, en la que afirma que el estado estaba usurpando e interfiriendo en la responsabilidad del gobierno federal de aplicar las leyes de inmigración. En una cena de recaudación de fondos el sábado por la noche en Tennessee, los asistentes le presentaron un mazo a McCarhy. ""Quiero que vean a Nancy Pelosi entregándome ese mazo. "
Rompen ONG con Biden por expulsión de migrantes - REFORMA	https://www.reforma.com/rompen-ong-con-biden-por-expulsion-de-migrantes/ar2232527	2021-08-02	Rompen ONG con Biden por expulsión de migrantes	"La Unión Estadounidense por las Libertades Civiles (ACLU, por sus siglas en inglés), el principal grupo que representa a las familias inmigrantes excluidas bajo la orden de expulsión, dijo el lunes en una presentación conjunta ante el Departamento de Justicia que las negociaciones para resolver el asunto ""llegaron a un punto muerto"" y debe reanudarse una demanda para frenar la política. Sin embargo, mantuvo un decreto sanitario de marzo de 2020 conocido como Título 42 que permite a Estados Unidos expulsar a los inmigrantes que se encuentran en sus fronteras. El abogado de la ACLU, Lee Gelernt, dijo que las exenciones continuarán una semana más. "
Biden-Harris, sin México en migración y narcotráfico - 24 HORAS	https://www.24-horas.mx/2021/08/02/biden-harris-sin-mexico-en-migracion-y-narcotrafico/	2021-08-02	Biden-Harris, sin México en migración y narcotráfico	Biden-Harris, sin México en migración y narcotráfico A pesar de encuentros bilaterales que auguraban voluntad cooperativa, la administración Biden-Harris decidió definir de manera unilateral sus estrategias migratorias y antinarcotráfico sin salirse del guion de responsabilizar a otros países de problemas acreditados al Gobierno de Estados Unidos. En el caso mexicano, las estrategias Biden-Harris eludieron los enfoques del presidente López Obrador y algunos de los puntos concretos asumidos por la Casa Blanca pronto van a chocar con las nuevas reglamentaciones y decisiones avaladas por el Gobierno mexicano, entre ellas, por ejemplo, la obligación estadounidense de registrar nombres de agentes y operaciones de seguridad en México y la necesidad de intercambiar tecnología e inteligencia. Y se trata de un proyecto que ya se conocía desde 2019, pero que ha tratado de politizarse y no de debatirse en sus términos estrictamente administrativos. 
Encinas fracasó al resolver tema de desplazados triquis en Oaxaca: Ubisort; exigen mesa para pacificación | Oaxaca - El Universal Oaxaca	https://oaxaca.eluniversal.com.mx/sociedad/encinas-fracaso-al-resolver-tema-de-desplazados-triquis-en-oaxaca-ubisort-exigen-mesa-para	2021-08-02	Encinas fracasó al resolver tema de desplazados triquis en Oaxaca: Ubisort; exigen mesa para pacificaciónOaxaca	“Esto sólo nos demuestra que una vez más son solo palabras huecas de parte del gobierno federal y estatal en todo lo relacionado al tema de pacificación en la zona Triqui”, recriminó. El MULTha exigido ratificar el acuerdo de paz, pero paradójicamente provocó nuevas ejecuciones y desplazamientos forzosos. Fabián Pereda aseguró que su organización, la Ubisort, ha estado a la espera del inicio de estas mesas de trabajo “para así poder dar el gran paso hacia la pacificación en la zona Triqui que tanto se ha anhelado durante décadas”. 
Historias de la línea: Lizbeth de la Cruz Santana muestra los rostros de 15 migrantes - El Heraldo de México	https://heraldodemexico.com.mx/cultura/2021/8/2/historias-de-la-linea-lizbeth-de-la-cruz-santana-muestra-los-rostros-de-15-migrantes-321703.html	2021-08-02	Historias de la línea: Lizbeth de la Cruz Santana muestra los rostros de 15 migrantes	El proyecto nació cuando en 2016 la autora visitó Tijuana por primera vez, posteriormente se unió a Humanizando la Deportación, un grupo que documenta las consecuencias de la expulsión masiva desde 2017. Después realiza algunas fotografías y selecciona aquellas que formarán parte de la obra. La pieza, que fue inaugurado el sábado pasado, permanecerá de forma indefinida en la frontera entre Tijuana y San Diego. 
EE.UU. amplía su programa de refugiados de Afganistán ante el avance talibán - Diario de México	https://www.diariodemexico.com/mundo/eeuu-amplia-su-programa-de-refugiados-de-afganistan-ante-el-avance-taliban	2021-08-02	EE.UU. amplía su programa de refugiados de Afganistán ante el avance talibán	También está abierto a aquellos afganos que trabajaron o trabajan para un proyecto en Afganistán que estuviera financiado por el Gobierno estadounidense, mediante una subvención oficial o un acuerdo de cooperación, explica el comunicado. El anuncio llega mientras Estados Unidos se encuentra inmerso en un complejo proceso para evacuar de Afganistán a hasta 100.000 ciudadanos afganos que han solicitado un visado SIV, destinado a aquellos que enfrentan amenazas por haber trabajado para el Gobierno de EE.UU. Ese proceso, bautizado como Operación Refugio para los Aliados, es extremadamente complejo dado que obtener un visado SIV puede llevar años, y Washington negocia con terceros países, como Catar y Kuwait, para que acojan temporalmente a esos afganos en su territorio mientras completan sus trámites. 
EU extiende la expulsión de migrantes indocumentados en la frontera por covid-19 - Milenio	https://www.milenio.com/internacional/estados-unidos/eu-extiende-expulsion-migrantes-indocumentados-covid-19	2021-08-03	EU extiende la expulsión de migrantes indocumentados en la frontera por covid-19	"Los menores migrantes que crucen la frontera solos no serán sujetos a la medida. La querella contra el secretario de Seguridad Nacional, Alejandro Mayorkas, presentada en el Tribunal Federal del Distrito de Columbia, argumenta que el Título 42 “viola los estatutos de larga data sobre migración que requieren que quienes solicitan asilo tengan un proceso completo y justo que determine su derecho a tener la protección de Estados Unidos"", señalaron los grupos en un comunicado. En junio pasado, 103 mil 14 extranjeros que ingresaron por la frontera sur fueron regresados a México. "
Vinculan a jóvenes de familias migrantes con programas de ciencia y tecnología - Milenio	https://www.milenio.com/politica/vinculan-jovenes-familias-migrantes-comunidades-hidalgo	2021-08-03	Vinculan a jóvenes de familias migrantes con programas de ciencia y tecnología	“Este programa es una muy buena plataforma, para poder pensar que podemos lograr la inclusión, la igualdad, la democracia y el respeto a los derechos; debemos integrar a nuestras comunidades y por eso felicito al Instituto de los Mexicanos en el Exterior; hoy tenemos los elementos, la información y la reimaginación humana para el apoyo de los migrantes que ayuden al desarrollo de sus países”, declaró Omar Fayad. El funcionario federal, Luis Gutiérrez, hizo hincapié en que Hidalgo es puntero e impulsor de la ciencia y tecnología; principalmente con temas como el Sincrotrón en un país que no lo tiene, así como en la creación de aplicaciones a las que les están apostando en el estado y con las instituciones del país para crear las condiciones y que el talento de origen mexicano se desarrolle aquí en México. Andressia Ramírez, de Carolina del Norte, quien participa por segunda ocasión en el Programa de Inmersión Cultural y Voluntariado 2021, agradeció al gobernador Omar Fayad por su apoyo y por recibirlos en Hidalgo, “que ahora también es nuestro hogar y por lo cual, ahora también nos sentimos hidalguenses”. 
Panamá convoca reunión regional ante creciente ola migratoria - Milenio	https://www.milenio.com/internacional/latinoamerica/panama-convoca-reunion-regional-ola-migratoria-darien	2021-08-03	Panamá convoca reunión regional ante creciente ola migratoria	"""La reunión apunta a conseguir un compromiso robusto que erradique las rutas migratorias peligrosas y descontroladas, respetando el derecho de todos los seres humanos a la libertad de movimiento sin poner en riesgo ni la vida ni el patrimonio"", dijo la Cancillería panameña. Para Panamá, agregó la información oficial, ""es prioridad favorecer el paso seguro, ordenado y regular de los migrantes que llegan a su territorio con intención de continuar camino hacia el norte, consecuente con sus principios y con las convenciones internacionales que ha suscrito el país"". ""En el 2016 nosotros teníamos un aproximado de 5 mil migrantes diarios"" llegando a la provincia del Darién, recordó el pasado jueves el director del Servicio Nacional de Fronteras (Senafront) panameño, Oriel Ortega, al resaltar que compartirán con Colombia sus experiencias y buenas prácticas en la materia. "
El 95% de envíos son de migrantes que viven en EU - 24 HORAS	https://www.24-horas.mx/2021/08/03/el-95-de-envios-son-de-migrantes-que-viven-en-eu/	2021-08-03	El 95% de envíos son de migrantes que viven en EU	Del total de remesas que ingresaron al país en el primer semestre del año, el 95.2% fueron enviadas desde Estados Unidos, principalmente de estados como California, Texas, Minnesota, Arizona, Florida e Illinois, que son lugares donde mas mexicanos residen. Recordó que las remesas llegan a las entidades en donde se estima existe un mayor volumen de migrantes. Y es que durante los primeros seis meses del año, Jalisco, Michoacán y Guanajuato continúan como los primeros lugares de recepción de remesas en el país. 
Fotoperiodista; migrante mexicano obtiene Premio Pulitzer - El Heraldo de México	https://heraldodemexico.com.mx/mundo/2021/8/3/fotoperiodista-migrante-mexicano-obtiene-premio-pulitzer-322054.html	2021-08-03	Fotoperiodista; migrante mexicano obtiene Premio Pulitzer	Originario de Tepexpan, en el Estado de México, Cortez, junto con su madre, intentaron llegar a EU por vía aérea, y reunirse con su padre que ya tenía residencia legal, pero en migración su mamá se puso nerviosa al responder las preguntas, por lo que fueron enviados durante una semana a un sitio de retención. “Estuvimos en un lugar de esos que se ven en las noticias, feos, sucios, esperando que un juez nos diera el acceso, pero mi mamá firmó la deportación y nos enviaron a Tijuana”, platicó Cortez. “Pero mi padre no se dejó y encontró un coyote que nos pasó, y cuando llegamos a la malla ahí en la frontera con San Ysidro, me dio mucho miedo, porque toda mi vida me han dicho mis padres que no debo de hacer nada malo, seguir las leyes y no hacer trampa. 
Buscaron refugio en julio más de 12,000 migrantes - El Economista	https://www.eleconomista.com.mx/politica/Solicitudes-de-refugio-en-Mexico-llegan-a-cifras-historicas-20210802-0116.html	2021-08-03	Buscaron refugio en julio más de 12,000 migrantes	Asimismo, los datos de este año también sobrepasan los registrados en 2019, cuando para el mismo periodo al menos 40,158 migrantes habían solicitado refugio. Los datos de la Comar también señalan que durante 2013 se recibieron 1,296 solicitudes, en 2014 fueron 2,137, en 2015 otras 3,423 y en 2016, 8,796. Mientras que en 2017 la cifra llegó a los 14,619 y en 2018 a 29,583 casos, para finalmente romper récord en 2019, cuando se registró que cerca de 70,405 personas pidieron la protección de México. 
EU extiende de manera indefinida expulsión de migrantes bajo el Título 42 - El Economista	https://www.eleconomista.com.mx/internacionales/EU-extiende-de-manera-indefinida-expulsion-de-migrantes-bajo-el-Titulo-42-20210803-0009.html	2021-08-03	EU extiende de manera indefinida expulsión de migrantes bajo el Título 42	"Y reiteró que: ""la orden sigue siendo necesaria para proteger la salud pública"". “Bajo el Título 42, el DHS continúa expulsando a la mayoría de los adultos solteros y, en la medida de lo posible, a las familias que se encuentran en la frontera suroeste"", detalló en un comunicado. El DHS aseguró que la administración Biden-Harris continúa trabajando para construir un sistema de inmigración justo, ordenado y humano, incluso ampliando las vías legales hacia los Estados Unidos y desalentando la migración irregular. "
EU amplía medida sanitaria para expulsar a migrantes | El Universal - El Universal	https://www.eluniversal.com.mx/mundo/eu-amplia-medida-sanitaria-para-expulsar-migrantes	2021-08-03	EU amplía medida sanitaria para expulsar a migrantes	Los Ángeles.— Los Centros para el Control y Prevención de Enfermedades (CDC) ampliaron ayer una medida sanitaria que permite expulsar a los migrantes que cruzan la frontera de forma indocumentada debido a la emergencia sanitaria por la pandemia del Covid-19. Los menores inmigrantes que crucen la frontera solos no serán cobijados por la medida. La querella contra el secretario de Seguridad Nacional, Alejandro Mayorkas, presentada en el Tribunal Federal del Distrito de Columbia, argumenta que el Título 42 “viola los estatutos de larga data sobre inmigración que requieren que quienes solicitan asilo tengan un proceso completo y justo que determine su derecho a tener la protección de Estados Unidos”, señalaron los grupos en un comunicado. 
