title	link	source	date	title_corrected
Primeros dos meses de Luma: retrasos, daños y servicio deficiente - Sin Comillas	https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vc2luY29taWxsYXMuY29tL3ByaW1lcm9zLWRvcy1tZXNlcy1kZS1sdW1hLXJldHJhc29zLWRhbm9zLXktc2VydmljaW8tZGVmaWNpZW50ZS_SAQA?oc=5	Sin Comillas	2021-08-16	Primeros dos meses de Luma: retrasos, daños y servicio deficiente
Así suena ‘Pa la Calle’: el nuevo EP que Lyanno presenta en Colombia - infobae	https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LmluZm9iYWUuY29tL2FtZXJpY2EvY29sb21iaWEvMjAyMS8wOC8xNi9hc2ktc3VlbmEtcGEtbGEtY2FsbGUtZWwtbnVldm8tZXAtcXVlLWx5YW5uby1wcmVzZW50YS1lbi1jb2xvbWJpYS_SAYoBaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vYW1lcmljYS9jb2xvbWJpYS8yMDIxLzA4LzE2L2FzaS1zdWVuYS1wYS1sYS1jYWxsZS1lbC1udWV2by1lcC1xdWUtbHlhbm5vLXByZXNlbnRhLWVuLWNvbG9tYmlhLz9vdXRwdXRUeXBlPWFtcC10eXBl?oc=5	infobae	2021-08-16	Así suena ‘Pa la Calle’: el nuevo EP que Lyanno presenta en Colombia
Lucecita, Chucho y Lissette: la historia del triángulo que marcó la cultura popular en Puerto Rico - El Nuevo Dia.com	https://news.google.com/__i/rss/rd/articles/CBMioQFodHRwczovL3d3dy5lbG51ZXZvZGlhLmNvbS9lbnRyZXRlbmltaWVudG8vbXVzaWNhL3ZpZGVvcy9sdWNlY2l0YS1jaHVjaG8teS1saXNzZXR0ZS1sYS1oaXN0b3JpYS1kZWwtdHJpYW5ndWxvLXF1ZS1tYXJjby1sYS1jdWx0dXJhLXBvcHVsYXItZW4tcHVlcnRvLXJpY28tMjczODIxL9IBAA?oc=5	El Nuevo Dia.com	2021-08-16	Lucecita, Chucho y Lissette: la historia del triángulo que marcó la cultura popular en Puerto Rico
Grace se aleja de Puerto Rico, pero sus lluvias podrían continuar hasta mañana - El Vocero de Puerto Rico	https://news.google.com/__i/rss/rd/articles/CBMiogFodHRwczovL3d3dy5lbHZvY2Vyby5jb20vZWwtdGllbXBvL2dyYWNlLXNlLWFsZWphLWRlLXB1ZXJ0by1yaWNvLXBlcm8tc3VzLWxsdXZpYXMtcG9kci1hbi1jb250aW51YXItaGFzdGEtbWEtYW5hL2FydGljbGVfZWU5MzRjY2UtZmRhNC0xMWViLTk3YWItMGI3OTljMTUxNmU0Lmh0bWzSAaYBaHR0cHM6Ly93d3cuZWx2b2Nlcm8uY29tL2VsLXRpZW1wby9ncmFjZS1zZS1hbGVqYS1kZS1wdWVydG8tcmljby1wZXJvLXN1cy1sbHV2aWFzLXBvZHItYW4tY29udGludWFyLWhhc3RhLW1hLWFuYS9hcnRpY2xlX2VlOTM0Y2NlLWZkYTQtMTFlYi05N2FiLTBiNzk5YzE1MTZlNC5hbXAuaHRtbA?oc=5	El Vocero de Puerto Rico	2021-08-16	Grace se aleja de Puerto Rico, pero sus lluvias podrían continuar hasta mañana
El Covid-19 se cobró la vida de un paciente de Puerto Rico y se registraron 148 nuevos positivos - EL TERRITORIO	https://news.google.com/__i/rss/rd/articles/CBMimwFodHRwczovL3d3dy5lbHRlcnJpdG9yaW8uY29tLmFyL25vdGljaWFzLzIwMjEvMDgvMTYvNzE2Mjc0LWVsLWNvdmlkLTE5LXNlLWNvYnJvLWxhLXZpZGEtZGUtdW4tcGFjaWVudGUtZGUtcHVlcnRvLXJpY28teS1zZS1yZWdpc3RyYXJvbi0xNDgtbnVldm9zLXBvc2l0aXZvc9IBnwFodHRwczovL3d3dy5lbHRlcnJpdG9yaW8uY29tLmFyL2FtcC9ub3RpY2lhcy8yMDIxLzA4LzE2LzcxNjI3NC1lbC1jb3ZpZC0xOS1zZS1jb2Jyby1sYS12aWRhLWRlLXVuLXBhY2llbnRlLWRlLXB1ZXJ0by1yaWNvLXktc2UtcmVnaXN0cmFyb24tMTQ4LW51ZXZvcy1wb3NpdGl2b3M?oc=5	EL TERRITORIO	2021-08-16	El Covid-19 se cobró la vida de un paciente de Puerto Rico y se registraron 148 nuevos positivos
EXCLUSIVA: Suspenden inicio de clases en Sabana Grande ante repunte de casos de COVID-19 - Telemundo Puerto Rico	https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy50ZWxlbXVuZG9wci5jb20vbm90aWNpYXMvcHVlcnRvLXJpY28vZXhjbHVzaXZhLXN1c3BlbmRlbi1pbmljaW8tZGUtY2xhc2VzLWVuLXNhYmFuYS1ncmFuZGUtYW50ZS1yZXB1bnRlLWRlLWNhc29zLWRlLWNvdmlkLTE5LzIyNDg4ODcv0gGVAWh0dHBzOi8vd3d3LnRlbGVtdW5kb3ByLmNvbS9ub3RpY2lhcy9wdWVydG8tcmljby9leGNsdXNpdmEtc3VzcGVuZGVuLWluaWNpby1kZS1jbGFzZXMtZW4tc2FiYW5hLWdyYW5kZS1hbnRlLXJlcHVudGUtZGUtY2Fzb3MtZGUtY292aWQtMTkvMjI0ODg4Ny8_YW1w?oc=5	Telemundo Puerto Rico	2021-08-16	EXCLUSIVA: Suspenden inicio de clases en Sabana Grande ante repunte de casos de COVID-19
Profesionales de la salud exigen pago de incentivo y aumento de salario - Telemundo Puerto Rico	https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy50ZWxlbXVuZG9wci5jb20vbm90aWNpYXMvcHVlcnRvLXJpY28vcHJvZmVzaW9uYWxlcy1kZS1sYS1zYWx1ZC1leGlnZW4tcGFnby1kZS1pbmNlbnRpdm8teS1hdW1lbnRvLWRlLXNhbGFyaW8vMjI0ODc0My_SAYUBaHR0cHM6Ly93d3cudGVsZW11bmRvcHIuY29tL25vdGljaWFzL3B1ZXJ0by1yaWNvL3Byb2Zlc2lvbmFsZXMtZGUtbGEtc2FsdWQtZXhpZ2VuLXBhZ28tZGUtaW5jZW50aXZvLXktYXVtZW50by1kZS1zYWxhcmlvLzIyNDg3NDMvP2FtcA?oc=5	Telemundo Puerto Rico	2021-08-16	Profesionales de la salud exigen pago de incentivo y aumento de salario
Federales capturan a sospechoso de asesinar a joven madre y su hija en Añasco - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMijAFodHRwczovL3d3dy5wcmltZXJhaG9yYS5jb20vbm90aWNpYXMvcG9saWNpYS10cmlidW5hbGVzL25vdGFzL2ZlZGVyYWxlcy1jYXB0dXJhbi1hLXNvc3BlY2hvc28tZGUtYXNlc2luYXItYS1qb3Zlbi1tYWRyZS15LXN1LWhpamEtZW4tYW5hc2NvL9IBAA?oc=5	Primera Hora	2021-08-17	Federales capturan a sospechoso de asesinar a joven madre y su hija en Añasco
Envió menos de 8 kilos de marihuana por encomienda y pasará 4 años en prisión - EL TERRITORIO	https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy5lbHRlcnJpdG9yaW8uY29tLmFyL25vdGljaWFzLzIwMjEvMDgvMTcvNzE2Mzk0LWVudmlvLW1lbm9zLWRlLTgta2lsb3MtZGUtbWFyaWh1YW5hLXBvci1lbmNvbWllbmRhLXktcGFzYXJhLTQtYW5vcy1lbi1wcmlzaW9u0gGMAWh0dHBzOi8vd3d3LmVsdGVycml0b3Jpby5jb20uYXIvYW1wL25vdGljaWFzLzIwMjEvMDgvMTcvNzE2Mzk0LWVudmlvLW1lbm9zLWRlLTgta2lsb3MtZGUtbWFyaWh1YW5hLXBvci1lbmNvbWllbmRhLXktcGFzYXJhLTQtYW5vcy1lbi1wcmlzaW9u?oc=5	EL TERRITORIO	2021-08-17	Envió menos de 8 kilos de marihuana por encomienda y pasará 4 años en prisión
Debate por el inicio de clases presenciales - El Vocero de Puerto Rico	https://news.google.com/__i/rss/rd/articles/CBMimgFodHRwczovL3d3dy5lbHZvY2Vyby5jb20vZWR1Y2FjaW9uL2RlcGFydGFtZW50by1kZS1lZHVjYWNpb24vZGViYXRlLXBvci1lbC1pbmljaW8tZGUtY2xhc2VzLXByZXNlbmNpYWxlcy9hcnRpY2xlX2ZhNDNiZGUyLWZmMDItMTFlYi05MzBmLTZmM2YxZGMwMjFlOC5odG1s0gGeAWh0dHBzOi8vd3d3LmVsdm9jZXJvLmNvbS9lZHVjYWNpb24vZGVwYXJ0YW1lbnRvLWRlLWVkdWNhY2lvbi9kZWJhdGUtcG9yLWVsLWluaWNpby1kZS1jbGFzZXMtcHJlc2VuY2lhbGVzL2FydGljbGVfZmE0M2JkZTItZmYwMi0xMWViLTkzMGYtNmYzZjFkYzAyMWU4LmFtcC5odG1s?oc=5	El Vocero de Puerto Rico	2021-08-17	Debate por el inicio de clases presenciales
Harán pruebas de dopaje en el Capitolio - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LnByaW1lcmFob3JhLmNvbS9ub3RpY2lhcy9wdWVydG8tcmljby9ub3Rhcy9oYXJhbi1wcnVlYmFzLWRlLWRvcGFqZS1lbi1lbC1jYXBpdG9saW8v0gEA?oc=5	Primera Hora	2021-08-17	Harán pruebas de dopaje en el Capitolio
Yaguareté hembra fue fotografiada en el paseo superior de Cataratas | EL TERRITORIO noticias de Misiones. - EL TERRITORIO	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LmVsdGVycml0b3Jpby5jb20uYXIvbm90aWNpYXMvMjAyMS8wOC8xNy83MTYzOTYteWFndWFyZXRlLWhlbWJyYS1mdWUtZm90b2dyYWZpYWRhLWVuLWVsLXBhc2VvLXN1cGVyaW9yLWRlLWNhdGFyYXRhc9IBAA?oc=5	EL TERRITORIO	2021-08-17	Yaguareté hembra fue fotografiada en el paseo superior de Cataratas noticias de Misiones.
Paty Navidad sobre el COVID-19: “sí existe este virus y por la mala me tocó comprobarlo” - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL3d3dy5wcmltZXJhaG9yYS5jb20vZW50cmV0ZW5pbWllbnRvL2ZhcmFuZHVsYS9ub3Rhcy9wYXR5LW5hdmlkYWQtc29icmUtZWwtY292aWQtMTktc2ktZXhpc3RlLWVzdGUtdmlydXMteS1wb3ItbGEtbWFsYS1tZS10b2NvLWNvbXByb2JhcmxvL9IBAA?oc=5	Primera Hora	2021-08-17	Paty Navidad sobre el COVID-19: “sí existe este virus y por la mala me tocó comprobarlo”
El caos por el mandato talibán en Afganistán y la salida de Estados Unidos: lo que debes saber - NotiCel	https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy5ub3RpY2VsLmNvbS9tdW5kby90b3Atc3Rvcmllcy8yMDIxMDgxNy9lbC1jYW9zLXBvci1lbC1tYW5kYXRvLXRhbGliYW4tZW4tYWZnYW5pc3Rhbi15LWxhLXNhbGlkYS1kZS1lc3RhZG9zLXVuaWRvcy1sby1xdWUtZGViZXMtc2FiZXIv0gEA?oc=5	NotiCel	2021-08-17	El caos por el mandato talibán en Afganistán y la salida de Estados Unidos: lo que debes saber
Así está la situación en Haití tras terremoto y azote de Grace - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnByaW1lcmFob3JhLmNvbS9ub3RpY2lhcy9tdW5kby9mb3RvZ2FsZXJpYXMvYXNpLWVzdGEtbGEtc2l0dWFjaW9uLWVuLWhhaXRpLXRyYXMtdGVycmVtb3RvLXktYXpvdGUtZGUtZ3JhY2Uv0gEA?oc=5	Primera Hora	2021-08-17	Así está la situación en Haití tras terremoto y azote de Grace
Trabajadores denuncian escollos por orden de vacunación obligatoria contra el covid-19 - El Vocero de Puerto Rico	https://news.google.com/__i/rss/rd/articles/CBMiswFodHRwczovL3d3dy5lbHZvY2Vyby5jb20vZ29iaWVybm8vYWdlbmNpYXMvdHJhYmFqYWRvcmVzLWRlbnVuY2lhbi1lc2NvbGxvcy1wb3Itb3JkZW4tZGUtdmFjdW5hY2ktbi1vYmxpZ2F0b3JpYS1jb250cmEtZWwtY292aWQtMTkvYXJ0aWNsZV83ODc3NjhjNi1mZjAzLTExZWItYWQzZC0yYjUyOTM1NGVhYjAuaHRtbNIBtwFodHRwczovL3d3dy5lbHZvY2Vyby5jb20vZ29iaWVybm8vYWdlbmNpYXMvdHJhYmFqYWRvcmVzLWRlbnVuY2lhbi1lc2NvbGxvcy1wb3Itb3JkZW4tZGUtdmFjdW5hY2ktbi1vYmxpZ2F0b3JpYS1jb250cmEtZWwtY292aWQtMTkvYXJ0aWNsZV83ODc3NjhjNi1mZjAzLTExZWItYWQzZC0yYjUyOTM1NGVhYjAuYW1wLmh0bWw?oc=5	El Vocero de Puerto Rico	2021-08-17	Trabajadores denuncian escollos por orden de vacunación obligatoria contra el covid-19
Salud nombra a Melissa Marzán Rodríguez como principal oficial de epidemiología - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMijQFodHRwczovL3d3dy5wcmltZXJhaG9yYS5jb20vbm90aWNpYXMvZ29iaWVybm8tcG9saXRpY2Evbm90YXMvc2FsdWQtbm9tYnJhLWEtbWVsaXNzYS1tYXJ6YW4tcm9kcmlndWV6LWNvbW8tcHJpbmNpcGFsLW9maWNpYWwtZGUtZXBpZGVtaW9sb2dpYS_SAQA?oc=5	Primera Hora	2021-08-17	Salud nombra a Melissa Marzán Rodríguez como principal oficial de epidemiología
Salud informa 11 muertes adicionales por COVID-19 - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LnByaW1lcmFob3JhLmNvbS9ub3RpY2lhcy9wdWVydG8tcmljby9ub3Rhcy9zYWx1ZC1pbmZvcm1hLTExLW11ZXJ0ZXMtYWRpY2lvbmFsZXMtcG9yLWNvdmlkLTE5LTQv0gEA?oc=5	Primera Hora	2021-08-17	Salud informa 11 muertes adicionales por COVID-19
Agente federal arresta trío que intentó asaltarlo en Guaynabo - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LnByaW1lcmFob3JhLmNvbS9ub3RpY2lhcy9wb2xpY2lhLXRyaWJ1bmFsZXMvbm90YXMvYWdlbnRlLWZlZGVyYWwtYXJyZXN0YS10cmlvLXF1ZS1pbnRlbnRvLWFzYWx0YXJsby1lbi1ndWF5bmFiby_SAQA?oc=5	Primera Hora	2021-08-17	Agente federal arresta trío que intentó asaltarlo en Guaynabo
Identifican septuagenaria que murió en un incendio en Bayamón - Primera Hora	https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LnByaW1lcmFob3JhLmNvbS9ub3RpY2lhcy9wb2xpY2lhLXRyaWJ1bmFsZXMvbm90YXMvaWRlbnRpZmljYW4tc2VwdHVhZ2VuYXJpYS1xdWUtbXVyaW8tZW4tdW4taW5jZW5kaW8tZW4tYmF5YW1vbi_SAQA?oc=5	Primera Hora	2021-08-17	Identifican septuagenaria que murió en un incendio en Bayamón
